date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-05-15,2.34,2.46,2.34,2.45,2104095,2104095,0.13,5.603,2.4164,"May 15, 17",0
2017-05-16,2.47,2.51,2.43,2.49,1836098,1836098,0.04,1.633,2.476,"May 16, 17",0.01632653061224491
2017-05-17,2.46,2.47,2.33,2.37,2323268,2323268,-0.12,-4.819,2.3817,"May 17, 17",-0.03265306122448982
2017-05-18,2.19,2.2,1.895,1.91,6658423,6658423,-0.46,-19.409,1.9908,"May 18, 17",-0.2204081632653062
2017-05-19,2.05,2.13,2.02,2.1,2620823,2620823,0.19,9.948,2.0908,"May 19, 17",-0.14285714285714288
2017-05-22,2.06,2.115,1.96,2.1,3082981,3082981,0,0,2.044,"May 22, 17",-0.14285714285714288
2017-05-23,2.07,2.18,2.065,2.13,2059423,2059423,0.03,1.429,2.1286,"May 23, 17",-0.13061224489795928
2017-05-24,2.1,2.16,2.09,2.09,1521691,1521691,-0.04,-1.878,2.1172,"May 24, 17",-0.1469387755102042
2017-05-25,2.07,2.15,2.05,2.1,1476700,1476700,0.01,0.478,2.0848,"May 25, 17",-0.14285714285714288
2017-05-26,2.12,2.14,2.11,2.12,804253,804253,0.02,0.952,2.1226,"May 26, 17",-0.13469387755102044
2017-05-30,2.17,2.2,2.15,2.19,1605086,1605086,0.07,3.302,2.1755,"May 30, 17",-0.10612244897959193
2017-05-31,2.16,2.185,2.07,2.07,2415941,2415941,-0.12,-5.479,2.1027,"May 31, 17",-0.15510204081632667
2017-06-01,2.12,2.1399,2.03,2.03,1205325,1205325,-0.04,-1.932,2.0747,"Jun 1, 17",-0.17142857142857157
2017-06-02,2.1,2.1,2.02,2.05,1056638,1056638,0.02,0.985,2.0479,"Jun 2, 17",-0.1632653061224491
2017-06-05,2.01,2.045,1.985,2.01,1360488,1360488,-0.04,-1.951,2.0059,"Jun 5, 17",-0.17959183673469403
2017-06-06,2.02,2.04,1.96,1.98,2038172,2038172,-0.03,-1.493,1.9896,"Jun 6, 17",-0.1918367346938776
2017-06-07,2.01,2.02,1.93,1.93,2309770,2309770,-0.05,-2.525,1.9591,"Jun 7, 17",-0.21224489795918375
2017-06-08,1.93,2.02,1.86,2.02,5575831,5575831,0.09,4.663,1.9171,"Jun 8, 17",-0.1755102040816327
2017-06-09,2.01,2.08,1.991,2.01,2657818,2657818,-0.01,-0.495,2.0419,"Jun 9, 17",-0.17959183673469403
2017-06-12,2,2.04,1.92,1.95,1881702,1881702,-0.06,-2.985,1.973,"Jun 12, 17",-0.2040816326530613
2017-06-13,1.94,1.95,1.9,1.91,1035892,1035892,-0.04,-2.051,1.9229,"Jun 13, 17",-0.2204081632653062
2017-06-14,1.95,1.96,1.91,1.94,975350,975350,0.03,1.571,1.9349,"Jun 14, 17",-0.20816326530612253
2017-06-15,1.89,2,1.81,1.91,2819470,2819470,-0.03,-1.546,1.8713,"Jun 15, 17",-0.2204081632653062
2017-06-16,1.89,1.915,1.85,1.85,3560289,3560289,-0.06,-3.141,1.8692,"Jun 16, 17",-0.2448979591836735
2017-06-19,1.87,1.92,1.81,1.87,4890434,4890434,0.02,1.081,1.8695,"Jun 19, 17",-0.23673469387755103
2017-06-20,1.82,1.83,1.76,1.77,1844533,1844533,-0.1,-5.348,1.7798,"Jun 20, 17",-0.2775510204081633
2017-06-21,1.78,1.82,1.76,1.79,2561180,2561180,0.02,1.13,1.7868,"Jun 21, 17",-0.2693877551020409
2017-06-22,1.8,1.87,1.775,1.85,4073798,4073798,0.06,3.352,1.8259,"Jun 22, 17",-0.2448979591836735
2017-06-23,1.87,1.93,1.85,1.9,4143295,4143295,0.05,2.703,1.8952,"Jun 23, 17",-0.22448979591836743
2017-06-26,1.92,1.97,1.92,1.94,2551102,2551102,0.04,2.105,1.9469,"Jun 26, 17",-0.20816326530612253
2017-06-27,1.98,2.05,1.96,2.03,5228110,5228110,0.09,4.639,2.0236,"Jun 27, 17",-0.17142857142857157
2017-06-28,2.1,2.15,2.05,2.15,3511532,3511532,0.12,5.911,2.1041,"Jun 28, 17",-0.12244897959183683
2017-06-29,2.16,2.18,2.02,2.05,4960126,4960126,-0.1,-4.651,2.0817,"Jun 29, 17",-0.1632653061224491
2017-06-30,2.07,2.15,2.055,2.15,1874299,1874299,0.1,4.878,2.1211,"Jun 30, 17",-0.12244897959183683
2017-07-03,2.18,2.2,2.135,2.15,1245439,1245439,0,0,2.1659,"Jul 3, 17",-0.12244897959183683
2017-07-05,2.15,2.15,2.06,2.11,5346810,5346810,-0.04,-1.86,2.0976,"Jul 5, 17",-0.13877551020408174
2017-07-06,2.1,2.12,2.06,2.09,2102572,2102572,-0.02,-0.948,2.09,"Jul 6, 17",-0.1469387755102042
2017-07-07,2.14,2.17,2.11,2.15,1980228,1980228,0.06,2.871,2.141,"Jul 7, 17",-0.12244897959183683
2017-07-10,2.16,2.21,2.15,2.2,1379194,1379194,0.05,2.326,2.1906,"Jul 10, 17",-0.1020408163265306
2017-07-11,2.26,2.34,2.23,2.33,3871262,3871262,0.13,5.909,2.301,"Jul 11, 17",-0.04897959183673473
2017-07-12,2.4,2.43,2.32,2.41,4178076,4178076,0.08,3.433,2.3801,"Jul 12, 17",-0.01632653061224491
2017-07-13,2.4,2.41,2.34,2.37,2762792,2762792,-0.04,-1.66,2.3636,"Jul 13, 17",-0.03265306122448982
2017-07-14,2.37,2.43,2.37,2.38,1866243,1866243,0.01,0.422,2.397,"Jul 14, 17",-0.028571428571428685
2017-07-17,2.41,2.46,2.395,2.43,1835556,1835556,0.05,2.101,2.4223,"Jul 17, 17",-0.008163265306122455
2017-07-18,2.41,2.42,2.34,2.41,3127958,3127958,-0.02,-0.823,2.3903,"Jul 18, 17",-0.01632653061224491
2017-07-19,2.42,2.49,2.4,2.48,3145462,3145462,0.07,2.905,2.4501,"Jul 19, 17",0.012244897959183593
2017-07-20,2.45,2.45,2.35,2.37,3475374,3475374,-0.11,-4.435,2.3893,"Jul 20, 17",-0.03265306122448982
2017-07-21,2.38,2.39,2.3,2.31,1273136,1273136,-0.06,-2.532,2.3344,"Jul 21, 17",-0.05714285714285719
2017-07-24,2.31,2.38,2.3,2.36,1206274,1206274,0.05,2.165,2.3443,"Jul 24, 17",-0.03673469387755114
2017-07-25,2.42,2.47,2.3926,2.44,2165864,2165864,0.08,3.39,2.4347,"Jul 25, 17",-0.0040816326530613185
2017-07-26,2.39,2.39,2.31,2.36,1893722,1893722,-0.08,-3.279,2.3557,"Jul 26, 17",-0.03673469387755114
2017-07-27,2.37,2.37,2.27,2.32,2340179,2340179,-0.04,-1.695,2.315,"Jul 27, 17",-0.053061224489796055
2017-07-28,2.3,2.38,2.29,2.37,1782532,1782532,0.05,2.155,2.333,"Jul 28, 17",-0.03265306122448982
2017-07-31,2.43,2.45,2.395,2.44,1789006,1789006,0.07,2.954,2.4267,"Jul 31, 17",-0.0040816326530613185
2017-08-01,2.39,2.42,2.36,2.37,1629366,1629366,-0.07,-2.869,2.3889,"Aug 1, 17",-0.03265306122448982
2017-08-02,2.33,2.45,2.33,2.45,1289275,1289275,0.08,3.376,2.4144,"Aug 2, 17",0
2017-08-03,2.44,2.44,2.375,2.39,977516,977516,-0.06,-2.449,2.3971,"Aug 3, 17",-0.024489795918367366
2017-08-04,2.41,2.51,2.4,2.49,2279224,2279224,0.1,4.184,2.4763,"Aug 4, 17",0.01632653061224491
2017-08-07,2.58,2.7,2.56,2.69,3357935,3357935,0.2,8.032,2.6611,"Aug 7, 17",0.09795918367346929
2017-08-08,2.71,2.77,2.67,2.76,3137769,3137769,0.07,2.602,2.7363,"Aug 8, 17",0.12653061224489778
2017-08-09,2.7,2.735,2.62,2.65,1928741,1928741,-0.11,-3.986,2.6773,"Aug 9, 17",0.08163265306122437
2017-08-10,2.61,2.62,2.51,2.55,1659903,1659903,-0.1,-3.774,2.565,"Aug 10, 17",0.040816326530612096
2017-08-11,2.53,2.665,2.48,2.62,2194368,2194368,0.07,2.745,2.591,"Aug 11, 17",0.06938775510204079
2017-08-14,2.65,2.69,2.56,2.58,3363724,3363724,-0.04,-1.527,2.6482,"Aug 14, 17",0.05306122448979587
2017-08-15,2.57,2.59,2.52,2.55,1412735,1412735,-0.03,-1.163,2.554,"Aug 15, 17",0.040816326530612096
2017-08-16,2.59,2.6,2.51,2.54,3953670,3953670,-0.01,-0.392,2.5439,"Aug 16, 17",0.03673469387755096
2017-08-17,2.52,2.58,2.48,2.49,2109414,2109414,-0.05,-1.969,2.5283,"Aug 17, 17",0.01632653061224491
2017-08-18,2.57,2.59,2.52,2.57,1746337,1746337,0.08,3.213,2.5593,"Aug 18, 17",0.04897959183673455
2017-08-21,2.57,2.61,2.46,2.48,2308178,2308178,-0.09,-3.502,2.5437,"Aug 21, 17",0.012244897959183593
2017-08-22,2.53,2.58,2.49,2.5,1738864,1738864,0.02,0.806,2.537,"Aug 22, 17",0.020408163265306048
2017-08-23,2.47,2.62,2.445,2.6,1648117,1648117,0.1,4,2.5428,"Aug 23, 17",0.061224489795918324
2017-08-24,2.63,2.7,2.61,2.69,1309083,1309083,0.09,3.462,2.6706,"Aug 24, 17",0.09795918367346929
2017-08-25,2.74,2.77,2.67,2.7,2051496,2051496,0.01,0.372,2.719,"Aug 25, 17",0.1020408163265306
2017-08-28,2.72,2.72,2.64,2.66,1062695,1062695,-0.04,-1.481,2.6803,"Aug 28, 17",0.08571428571428569
2017-08-29,2.6,2.7,2.6,2.67,1218675,1218675,0.01,0.376,2.6611,"Aug 29, 17",0.08979591836734684
2017-08-30,2.67,2.7,2.625,2.69,2287211,2287211,0.02,0.749,2.6598,"Aug 30, 17",0.09795918367346929
2017-08-31,2.74,2.75,2.685,2.71,1697203,1697203,0.02,0.743,2.7216,"Aug 31, 17",0.10612244897959174
2017-09-01,2.81,2.96,2.78,2.89,5029371,5029371,0.18,6.642,2.8936,"Sep 1, 17",0.17959183673469384
2017-09-05,3.07,3.14,2.9701,3.05,9864382,9864382,0.16,5.536,3.0514,"Sep 5, 17",0.2448979591836733
2017-09-06,3.05,3.13,3.005,3.11,2616358,2616358,0.06,1.967,3.0739,"Sep 6, 17",0.26938775510204066
2017-09-07,3.15,3.22,3.12,3.18,3458343,3458343,0.07,2.251,3.1709,"Sep 7, 17",0.29795918367346935
2017-09-08,3.2,3.246,3.11,3.16,4255444,4255444,-0.02,-0.629,3.1812,"Sep 8, 17",0.2897959183673469
2017-09-11,3.26,3.42,3.25,3.36,3924932,3924932,0.2,6.329,3.3527,"Sep 11, 17",0.3714285714285713
2017-09-12,3.33,3.49,3.31,3.34,3640569,3640569,-0.02,-0.595,3.4018,"Sep 12, 17",0.36326530612244884
2017-09-13,3.28,3.311,3.24,3.27,2414093,2414093,-0.07,-2.096,3.2683,"Sep 13, 17",0.3346938775510203
2017-09-14,3.21,3.29,3.16,3.28,4147638,4147638,0.01,0.306,3.2333,"Sep 14, 17",0.3387755102040815
2017-09-15,3.28,3.43,3.28,3.42,1720773,1720773,0.14,4.268,3.3851,"Sep 15, 17",0.39591836734693864
2017-09-18,3.43,3.55,3.42,3.54,5588504,5588504,0.12,3.509,3.4987,"Sep 18, 17",0.44489795918367336
2017-09-19,3.52,3.53,3.365,3.43,3596601,3596601,-0.11,-3.107,3.4161,"Sep 19, 17",0.39999999999999997
2017-09-20,3.49,3.5,3.2801,3.33,3111084,3111084,-0.1,-2.915,3.3764,"Sep 20, 17",0.3591836734693877
2017-09-21,3.25,3.27,3.165,3.19,2170105,2170105,-0.14,-4.204,3.2041,"Sep 21, 17",0.3020408163265305
2017-09-22,3.17,3.18,3.05,3.09,2694004,2694004,-0.1,-3.135,3.1001,"Sep 22, 17",0.2612244897959182
2017-09-25,3.12,3.12,2.9,2.93,3086831,3086831,-0.16,-5.178,2.9568,"Sep 25, 17",0.19591836734693877
2017-09-26,2.97,3.05,2.925,2.95,2857643,2857643,0.02,0.683,2.9683,"Sep 26, 17",0.2040816326530612
2017-09-27,2.98,2.9907,2.78,2.87,3327473,3327473,-0.08,-2.712,2.8612,"Sep 27, 17",0.17142857142857137
2017-09-28,2.81,2.85,2.75,2.81,2636735,2636735,-0.06,-2.091,2.7939,"Sep 28, 17",0.146938775510204
2017-09-29,2.93,3,2.91,2.96,3844184,3844184,0.15,5.338,2.956,"Sep 29, 17",0.20816326530612234
2017-10-02,3.01,3.11,2.99,3.08,4259081,4259081,0.12,4.054,3.0798,"Oct 2, 17",0.25714285714285706
2017-10-03,3.15,3.3799,3.14,3.37,4823493,4823493,0.29,9.416,3.279,"Oct 3, 17",0.3755102040816326
2017-10-04,3.42,3.47,3.3236,3.37,4391302,4391302,0,0,3.392,"Oct 4, 17",0.3755102040816326
2017-10-05,3.47,3.5,3.26,3.27,3794108,3794108,-0.1,-2.967,3.4019,"Oct 5, 17",0.3346938775510203
2017-10-06,3.2,3.24,3.165,3.2,3748849,3748849,-0.07,-2.141,3.2057,"Oct 6, 17",0.3061224489795918
2017-10-09,3.2,3.21,3.01,3.06,4883230,4883230,-0.14,-4.375,3.0532,"Oct 9, 17",0.24897959183673463
2017-10-10,3.1,3.14,3.07,3.1,1984069,1984069,0.04,1.307,3.103,"Oct 10, 17",0.26530612244897955
2017-10-11,3.12,3.125,2.98,2.98,4781205,4781205,-0.12,-3.871,3.0236,"Oct 11, 17",0.2163265306122448
2017-10-12,3.01,3.05,2.97,3,3005306,3005306,0.02,0.671,3.0176,"Oct 12, 17",0.22448979591836726
2017-10-13,3.12,3.2,3.11,3.19,3823364,3823364,0.19,6.333,3.1621,"Oct 13, 17",0.3020408163265305
2017-10-16,3.28,3.3,3.15,3.16,3135726,3135726,-0.03,-0.94,3.1991,"Oct 16, 17",0.2897959183673469
2017-10-17,3.12,3.14,3.04,3.09,1915151,1915151,-0.07,-2.215,3.0802,"Oct 17, 17",0.2612244897959182
2017-10-18,3.08,3.12,3,3.08,1357189,1357189,-0.01,-0.324,3.0658,"Oct 18, 17",0.25714285714285706
2017-10-19,3,3.1,2.97,3.09,2643026,2643026,0.01,0.325,3.0226,"Oct 19, 17",0.2612244897959182
2017-10-20,3.16,3.17,3.09,3.13,4418053,4418053,0.04,1.294,3.1391,"Oct 20, 17",0.27755102040816315
2017-10-23,3.12,3.14,2.99,3.01,1679202,1679202,-0.12,-3.834,3.0547,"Oct 23, 17",0.2285714285714284
2017-10-24,3,3.06,2.975,3.05,3026242,3026242,0.04,1.329,3.0323,"Oct 24, 17",0.2448979591836733
2017-10-25,3.04,3.04,2.925,3.02,2587015,2587015,-0.03,-0.984,2.9919,"Oct 25, 17",0.23265306122448973
2017-10-26,3,3.01,2.83,2.84,4361979,4361979,-0.18,-5.96,2.9023,"Oct 26, 17",0.1591836734693876
2017-10-27,2.81,2.84,2.72,2.73,8020476,8020476,-0.11,-3.873,2.7818,"Oct 27, 17",0.1142857142857142
2017-10-30,2.66,2.765,2.53,2.55,5353245,5353245,-0.18,-6.593,2.6385,"Oct 30, 17",0.040816326530612096
2017-10-31,2.58,2.615,2.51,2.53,3746491,3746491,-0.02,-0.784,2.5546,"Oct 31, 17",0.03265306122448964
2017-11-01,2.58,2.62,2.44,2.45,3566936,3566936,-0.08,-3.162,2.5443,"Nov 1, 17",0
2017-11-02,2.46,2.46,2.38,2.44,3091466,3091466,-0.01,-0.408,2.4003,"Nov 2, 17",-0.0040816326530613185
2017-11-03,2.43,2.435,2.265,2.37,6161371,6161371,-0.07,-2.869,2.3425,"Nov 3, 17",-0.03265306122448982
2017-11-06,2.45,2.58,2.42,2.53,4664587,4664587,0.16,6.751,2.4823,"Nov 6, 17",0.03265306122448964
2017-11-07,2.47,2.48,2.39,2.44,6412636,6412636,-0.09,-3.557,2.4318,"Nov 7, 17",-0.0040816326530613185
2017-11-08,2.52,2.54,2.45,2.49,2221662,2221662,0.05,2.049,2.4904,"Nov 8, 17",0.01632653061224491
