date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-11-09,2.43,2.44,2.365,2.4,1690489,1690489,-0.09,-3.614,2.4054,"Nov 9, 17",-0.02040816326530623
2017-11-10,2.35,2.37,2.2628,2.34,3950536,3950536,-0.06,-2.5,2.3063,"Nov 10, 17",-0.0448979591836736
2017-11-13,2.33,2.38,2.31,2.36,1109425,1109425,0.02,0.855,2.3475,"Nov 13, 17",-0.03673469387755114
2017-11-14,2.37,2.37,2.2,2.22,3386596,3386596,-0.14,-5.932,2.2687,"Nov 14, 17",-0.09387755102040815
2017-11-15,2.18,2.24,2.17,2.23,1266197,1266197,0.01,0.45,2.2143,"Nov 15, 17",-0.08979591836734702
2017-11-16,2.26,2.29,2.2,2.23,2154255,2154255,0,0,2.249,"Nov 16, 17",-0.08979591836734702
2017-11-17,2.21,2.34,2.19,2.33,3175102,3175102,0.1,4.484,2.2495,"Nov 17, 17",-0.04897959183673473
2017-11-20,2.32,2.34,2.29,2.34,1298128,1298128,0.01,0.429,2.3162,"Nov 20, 17",-0.0448979591836736
2017-11-21,2.39,2.42,2.32,2.33,2102322,2102322,-0.01,-0.427,2.3682,"Nov 21, 17",-0.04897959183673473
2017-11-22,2.39,2.43,2.36,2.39,1562117,1562117,0.06,2.575,2.3927,"Nov 22, 17",-0.024489795918367366
2017-11-24,2.48,2.5,2.42,2.42,1727109,1727109,0.03,1.255,2.4543,"Nov 24, 17",-0.012244897959183773
2017-11-27,2.42,2.45,2.38,2.42,1839698,1839698,0,0,2.4106,"Nov 27, 17",-0.012244897959183773
2017-11-28,2.45,2.51,2.205,2.29,9169627,9169627,-0.13,-5.372,2.3721,"Nov 28, 17",-0.06530612244897964
2017-11-29,2.35,2.35,2.26,2.28,3043864,3043864,-0.01,-0.437,2.296,"Nov 29, 17",-0.06938775510204097
2017-11-30,2.22,2.28,2.185,2.22,5006914,5006914,-0.06,-2.632,2.2253,"Nov 30, 17",-0.09387755102040815
2017-12-01,2.24,2.28,2.21,2.22,1120284,1120284,0,0,2.2392,"Dec 1, 17",-0.09387755102040815
2017-12-04,2.28,2.33,2.27,2.28,1655308,1655308,0.06,2.703,2.299,"Dec 4, 17",-0.06938775510204097
2017-12-05,2.32,2.32,2.2,2.21,1180957,1180957,-0.07,-3.07,2.2564,"Dec 5, 17",-0.09795918367346947
2017-12-06,2.22,2.27,2.19,2.24,2365062,2365062,0.03,1.357,2.2305,"Dec 6, 17",-0.08571428571428569
2017-12-07,2.16,2.21,2.15,2.19,1104356,1104356,-0.05,-2.232,2.1842,"Dec 7, 17",-0.10612244897959193
2017-12-08,2.2,2.21,2.16,2.17,1146722,1146722,-0.02,-0.913,2.1857,"Dec 8, 17",-0.11428571428571438
2017-12-11,2.21,2.23,2.19,2.23,1322703,1322703,0.06,2.765,2.2128,"Dec 11, 17",-0.08979591836734702
2017-12-12,2.21,2.34,2.2,2.32,2307626,2307626,0.09,4.036,2.2611,"Dec 12, 17",-0.053061224489796055
2017-12-13,2.32,2.33,2.25,2.29,1295013,1295013,-0.03,-1.293,2.2954,"Dec 13, 17",-0.06530612244897964
2017-12-14,2.25,2.29,2.24,2.25,1465728,1465728,-0.04,-1.747,2.2618,"Dec 14, 17",-0.08163265306122455
2017-12-15,2.3,2.36,2.29,2.32,1702620,1702620,0.07,3.111,2.3268,"Dec 15, 17",-0.053061224489796055
2017-12-18,2.33,2.36,2.25,2.25,1877895,1877895,-0.07,-3.017,2.3043,"Dec 18, 17",-0.08163265306122455
2017-12-19,2.255,2.26,2.19,2.23,3505898,3505898,-0.02,-0.889,2.2105,"Dec 19, 17",-0.08979591836734702
2017-12-20,2.27,2.37,2.25,2.3,5827412,5827412,0.07,3.139,2.3328,"Dec 20, 17",-0.061224489795918505
2017-12-21,2.345,2.42,2.32,2.4,2376843,2376843,0.1,4.348,2.3642,"Dec 21, 17",-0.02040816326530623
2017-12-22,2.39,2.41,2.34,2.38,1525705,1525705,-0.02,-0.833,2.3792,"Dec 22, 17",-0.028571428571428685
2017-12-26,2.4,2.44,2.39,2.4,1030026,1030026,0.02,0.84,2.4172,"Dec 26, 17",-0.02040816326530623
2017-12-27,2.43,2.48,2.41,2.44,1882363,1882363,0.04,1.667,2.4542,"Dec 27, 17",-0.0040816326530613185
2017-12-28,2.47,2.53,2.46,2.52,2334166,2334166,0.08,3.279,2.5029,"Dec 28, 17",0.028571428571428505
2017-12-29,2.52,2.55,2.45,2.45,1906622,1906622,-0.07,-2.778,2.4823,"Dec 29, 17",0
2018-01-02,2.56,2.66,2.54,2.66,2474687,2474687,0.21,8.571,2.6143,"Jan 2, 18",0.08571428571428569
2018-01-03,2.7,2.73,2.67,2.73,1959818,1959818,0.07,2.632,2.7057,"Jan 3, 18",0.1142857142857142
2018-01-04,2.87,2.91,2.801,2.85,2784511,2784511,0.12,4.396,2.8598,"Jan 4, 18",0.16326530612244894
2018-01-05,2.84,2.91,2.8,2.9,2296385,2296385,0.05,1.754,2.8672,"Jan 5, 18",0.18367346938775497
2018-01-08,2.97,3.06,2.945,3.03,5372732,5372732,0.13,4.483,3.0164,"Jan 8, 18",0.23673469387755086
2018-01-09,3.08,3.12,3.075,3.11,4140703,4140703,0.08,2.64,3.1019,"Jan 9, 18",0.26938775510204066
2018-01-10,3.14,3.17,3.1,3.14,4658178,4658178,0.03,0.965,3.1325,"Jan 10, 18",0.2816326530612244
2018-01-11,3.2,3.4,3.19,3.35,10295075,10295075,0.21,6.688,3.3111,"Jan 11, 18",0.36734693877551017
2018-01-12,3.4,3.49,3.255,3.31,8403180,8403180,-0.04,-1.194,3.3678,"Jan 12, 18",0.35102040816326524
2018-01-16,3.34,3.355,3.21,3.24,5468118,5468118,-0.07,-2.115,3.2912,"Jan 16, 18",0.3224489795918367
2018-01-17,3.21,3.37,3.18,3.36,7779272,7779272,0.12,3.704,3.2705,"Jan 17, 18",0.3714285714285713
2018-01-18,3.35,3.38,3.21,3.21,3300113,3300113,-0.15,-4.464,3.2838,"Jan 18, 18",0.31020408163265295
2018-01-19,3.3,3.34,3.25,3.34,3371835,3371835,0.13,4.05,3.2997,"Jan 19, 18",0.36326530612244884
2018-01-22,3.31,3.35,3.275,3.28,3151992,3151992,-0.06,-1.796,3.3088,"Jan 22, 18",0.3387755102040815
2018-01-23,3.21,3.24,3.12,3.13,3461413,3461413,-0.15,-4.573,3.1618,"Jan 23, 18",0.27755102040816315
2018-01-24,3.29,3.42,3.27,3.37,7954388,7954388,0.24,7.668,3.3281,"Jan 24, 18",0.3755102040816326
2018-01-25,3.35,3.42,3.3,3.36,3882310,3882310,-0.01,-0.297,3.3752,"Jan 25, 18",0.3714285714285713
2018-01-26,3.36,3.43,3.36,3.39,5432519,5432519,0.03,0.893,3.3934,"Jan 26, 18",0.38367346938775504
2018-01-29,3.37,3.39,3.28,3.29,2416757,2416757,-0.1,-2.95,3.3318,"Jan 29, 18",0.34285714285714275
2018-01-30,3.35,3.39,3.315,3.36,2770007,2770007,0.07,2.128,3.3565,"Jan 30, 18",0.3714285714285713
2018-01-31,3.52,3.53,3.38,3.4,4249956,4249956,0.04,1.19,3.4601,"Jan 31, 18",0.3877551020408162
2018-02-01,3.42,3.505,3.395,3.41,3829855,3829855,0.01,0.294,3.4523,"Feb 1, 18",0.39183673469387753
2018-02-02,3.36,3.36,3.2,3.2,4368158,4368158,-0.21,-6.158,3.277,"Feb 2, 18",0.3061224489795918
2018-02-05,3.2,3.25,3.03,3.08,4874534,4874534,-0.12,-3.75,3.1578,"Feb 5, 18",0.25714285714285706
2018-02-06,3,3.215,3,3.19,2730883,2730883,0.11,3.571,3.141,"Feb 6, 18",0.3020408163265305
2018-02-07,3.2,3.25,3.06,3.09,2539001,2539001,-0.1,-3.135,3.1191,"Feb 7, 18",0.2612244897959182
2018-02-08,3.13,3.13,2.96,2.96,3392557,3392557,-0.13,-4.207,3.0341,"Feb 8, 18",0.20816326530612234
2018-02-09,3,3.12,2.83,3.08,7729636,7729636,0.12,4.054,2.967,"Feb 9, 18",0.25714285714285706
2018-02-12,3.11,3.13,3,3.03,1944068,1944068,-0.05,-1.623,3.0457,"Feb 12, 18",0.23673469387755086
2018-02-13,3.01,3.21,3.01,3.18,3285861,3285861,0.15,4.95,3.1509,"Feb 13, 18",0.29795918367346935
2018-02-14,3.11,3.29,3.08,3.28,4708910,4708910,0.1,3.145,3.1947,"Feb 14, 18",0.3387755102040815
2018-02-15,3.31,3.355,3.22,3.23,2189961,2189961,-0.05,-1.524,3.2899,"Feb 15, 18",0.3183673469387754
2018-02-16,3.23,3.32,3.19,3.28,2782692,2782692,0.05,1.548,3.2536,"Feb 16, 18",0.3387755102040815
2018-02-20,3.16,3.21,3.13,3.15,2812486,2812486,-0.13,-3.963,3.1743,"Feb 20, 18",0.2857142857142856
2018-02-21,3.18,3.21,3.12,3.13,1673917,1673917,-0.02,-0.635,3.1613,"Feb 21, 18",0.27755102040816315
2018-02-22,3.17,3.19,3.08,3.09,1198722,1198722,-0.04,-1.278,3.1224,"Feb 22, 18",0.2612244897959182
2018-02-23,3.09,3.15,3.065,3.11,2061665,2061665,0.02,0.647,3.1168,"Feb 23, 18",0.26938775510204066
2018-02-26,3.22,3.33,3.195,3.3,3630181,3630181,0.19,6.109,3.2687,"Feb 26, 18",0.3469387755102039
2018-02-27,3.29,3.31,3.2,3.22,2884391,2884391,-0.08,-2.424,3.2428,"Feb 27, 18",0.3142857142857143
2018-02-28,3.22,3.26,3.07,3.07,4338888,4338888,-0.15,-4.658,3.1529,"Feb 28, 18",0.2530612244897958
2018-03-01,3.11,3.14,2.89,2.93,5182088,5182088,-0.14,-4.56,2.9655,"Mar 1, 18",0.19591836734693877
2018-03-02,2.78,2.81,2.63,2.79,4983359,4983359,-0.14,-4.778,2.7314,"Mar 2, 18",0.13877551020408158
2018-03-05,2.71,2.82,2.7,2.77,1897762,1897762,-0.02,-0.717,2.7763,"Mar 5, 18",0.1306122448979591
2018-03-06,2.85,2.89,2.79,2.79,2343290,2343290,0.02,0.722,2.8328,"Mar 6, 18",0.13877551020408158
2018-03-07,2.75,2.78,2.64,2.73,2617469,2617469,-0.06,-2.151,2.7097,"Mar 7, 18",0.1142857142857142
2018-03-08,2.71,2.715,2.59,2.59,2706253,2706253,-0.14,-5.128,2.6471,"Mar 8, 18",0.05714285714285701
2018-03-09,2.66,2.73,2.64,2.69,3670876,3670876,0.1,3.861,2.6882,"Mar 9, 18",0.09795918367346929
2018-03-12,2.71,2.76,2.69,2.71,2065434,2065434,0.02,0.743,2.7152,"Mar 12, 18",0.10612244897959174
2018-03-13,2.74,2.77,2.65,2.68,2093916,2093916,-0.03,-1.107,2.7032,"Mar 13, 18",0.09387755102040815
2018-03-14,2.7342,2.74,2.65,2.66,1909192,1909192,-0.02,-0.746,2.6805,"Mar 14, 18",0.08571428571428569
2018-03-15,2.63,2.63,2.54,2.55,1682045,1682045,-0.11,-4.135,2.5693,"Mar 15, 18",0.040816326530612096
2018-03-16,2.54,2.6,2.53,2.54,2489349,2489349,-0.01,-0.392,2.5522,"Mar 16, 18",0.03673469387755096
2018-03-19,2.5,2.52,2.45,2.46,2736342,2736342,-0.08,-3.15,2.4756,"Mar 19, 18",0.004081632653061137
2018-03-20,2.49,2.55,2.44,2.48,4224946,4224946,0.02,0.813,2.4901,"Mar 20, 18",0.012244897959183593
2018-03-21,2.49,2.66,2.49,2.66,5022720,5022720,0.18,7.258,2.5793,"Mar 21, 18",0.08571428571428569
2018-03-22,2.61,2.75,2.56,2.58,5235802,5235802,-0.08,-3.008,2.645,"Mar 22, 18",0.05306122448979587
2018-03-23,2.63,2.64,2.5,2.51,2797269,2797269,-0.07,-2.713,2.5716,"Mar 23, 18",0.024489795918367186
2018-03-26,2.59,2.6,2.505,2.55,2651966,2651966,0.04,1.594,2.5609,"Mar 26, 18",0.040816326530612096
2018-03-27,2.59,2.59,2.47,2.49,2295536,2295536,-0.06,-2.353,2.5174,"Mar 27, 18",0.01632653061224491
2018-03-28,2.42,2.48,2.38,2.46,1899302,1899302,-0.03,-1.205,2.439,"Mar 28, 18",0.004081632653061137
2018-03-29,2.51,2.67,2.51,2.63,5718650,5718650,0.17,6.911,2.6164,"Mar 29, 18",0.07346938775510192
2018-04-02,2.68,2.69,2.6,2.66,1668906,1668906,0.03,1.141,2.6442,"Apr 2, 18",0.08571428571428569
2018-04-03,2.69,2.705,2.57,2.6,1256828,1256828,-0.06,-2.256,2.6266,"Apr 3, 18",0.061224489795918324
2018-04-04,2.53,2.56,2.47,2.54,2832514,2832514,-0.06,-2.308,2.5233,"Apr 4, 18",0.03673469387755096
2018-04-05,2.62,2.675,2.594,2.62,4483348,4483348,0.08,3.15,2.6338,"Apr 5, 18",0.06938775510204079
2018-04-06,2.59,2.61,2.5,2.52,1808876,1808876,-0.1,-3.817,2.5362,"Apr 6, 18",0.028571428571428505
2018-04-09,2.52,2.52,2.44,2.44,2259073,2259073,-0.08,-3.175,2.4829,"Apr 9, 18",-0.0040816326530613185
2018-04-10,2.48,2.51,2.46,2.46,1673029,1673029,0.02,0.82,2.4819,"Apr 10, 18",0.004081632653061137
2018-04-11,2.51,2.6,2.495,2.55,4532131,4532131,0.09,3.659,2.5637,"Apr 11, 18",0.040816326530612096
2018-04-12,2.6,2.62,2.57,2.59,1253638,1253638,0.04,1.569,2.5953,"Apr 12, 18",0.05714285714285701
2018-04-13,2.61,2.62,2.52,2.53,1725656,1725656,-0.06,-2.317,2.5603,"Apr 13, 18",0.03265306122448964
2018-04-16,2.52,2.53,2.45,2.49,1888542,1888542,-0.04,-1.581,2.4835,Apr 16,0.01632653061224491
2018-04-17,2.52,2.57,2.5,2.54,1268195,1268195,0.05,2.008,2.5423,Apr 17,0.03673469387755096
2018-04-18,2.6,2.74,2.6,2.73,5694486,5694486,0.19,7.48,2.687,Apr 18,0.1142857142857142
2018-04-19,2.7243,2.75,2.7,2.74,4952199,4952199,0.01,0.366,2.721,Apr 19,0.11836734693877551
2018-04-20,2.72,2.75,2.625,2.65,5017727,5017727,-0.09,-3.285,2.7023,Apr 20,0.08163265306122437
2018-04-23,2.62,2.68,2.595,2.63,1711562,1711562,-0.02,-0.755,2.6359,Apr 23,0.07346938775510192
2018-04-24,2.64,2.68,2.58,2.63,1896481,1896481,0,0,2.6281,Apr 24,0.07346938775510192
2018-04-25,2.58,2.61,2.53,2.59,1451430,1451430,-0.04,-1.521,2.5791,Apr 25,0.05714285714285701
2018-04-26,2.61,2.66,2.59,2.64,1502758,1502758,0.05,1.931,2.6256,Apr 26,0.07755102040816324
2018-04-27,2.66,2.67,2.56,2.56,2114225,2114225,-0.08,-3.03,2.6014,Apr 27,0.04489795918367342
2018-04-30,2.58,2.59,2.49,2.51,2044476,2044476,-0.05,-1.953,2.5209,Apr 30,0.024489795918367186
2018-05-01,2.49,2.55,2.415,2.5,4286719,4286719,-0.01,-0.398,2.4935,May 1,0.020408163265306048
2018-05-02,2.54,2.585,2.5,2.5,2386438,2386438,0,0,2.544,May 2,0.020408163265306048
2018-05-03,2.5,2.5,2.39,2.43,1534597,1534597,-0.07,-2.8,2.4391,May 3,-0.008163265306122455
2018-05-04,2.42,2.5,2.405,2.45,1710615,1710615,0.02,0.823,2.46,May 4,0
2018-05-07,2.43,2.47,2.35,2.35,1561269,1561269,-0.1,-4.082,2.3927,May 7,-0.040816326530612276
2018-05-08,2.38,2.39,2.3,2.35,3337020,3337020,0,0,2.3398,May 8,-0.040816326530612276
2018-05-09,2.35,2.4,2.34,2.39,2623511,2623511,0.04,1.702,2.3784,May 9,-0.024489795918367366
2018-05-10,2.45,2.52,2.43,2.5,3800417,3800417,0.11,4.603,2.484,May 10,0.020408163265306048
2018-05-11,2.58,2.61,2.5,2.53,1561923,1561923,0.03,1.2,2.5526,May 11,0.03265306122448964
2018-05-14,2.62,2.67,2.56,2.61,3549130,3549130,0.08,3.162,2.6191,May 14,0.06530612244897946
2018-05-15,2.52,2.63,2.49,2.56,3094965,3094965,-0.05,-1.916,2.5803,May 15,0.04489795918367342